2015-06-23 10:57:21 [DEBUG] root:61 	causeTraces= difflib.ChangeDelta:31, difflib.DiffUtils:158, difflib.ChangeDelta:41, difflib.DiffUtils:157, difflib.DiffUtils:160, difflib.DiffUtils:159, difflib.DiffUtils:172, difflib.Delta:40, difflib.DiffUtils:168, difflib.DiffUtils:167, difflib.DiffUtils:141, difflib.DiffUtils:142, difflib.DiffUtils:156, difflib.DiffUtils:153, issues.IOUtils:16, issues.IOUtils:18, difflib.DiffUtils:152, difflib.DiffUtils:128, difflib.DiffUtils:125, difflib.DiffUtils:140, difflib.DiffUtils:139, difflib.DiffUtils:138, difflib.DiffUtils:137, difflib.Patch:96, difflib.Chunk:81, difflib.Delta:78, difflib.DiffUtils:119, issues.issue10.Patcher:58, difflib.DiffUtils:121, difflib.Chunk:82, difflib.DiffUtils:109, difflib.ChangeDelta:75, issues.issue10.Patcher:47, difflib.DiffUtils:102, difflib.DiffUtils:103, issues.issue10.Patcher:48, issues.issue10.Patcher:43, difflib.DiffUtils:105, issues.issue10.Patcher:45, difflib.Patch:65, difflib.DiffUtils:94, issues.issue10.Patcher:57, difflib.DiffUtils:96, difflib.DiffUtils:97, issues.issue10.Patcher:51, difflib.DiffUtils:98, issues.issue10.Patcher:50, difflib.DiffUtils:88, issues.issue10.Patcher:30, difflib.Chunk:49, issues.issue10.Patcher:31, difflib.Chunk:51, issues.issue10.PatcherTest:17, difflib.Chunk:50, issues.issue10.PatcherTest:16, difflib.DiffUtils:90, issues.issue10.Patcher:26, difflib.DiffUtils:89, issues.issue10.PatcherTest:23, difflib.Patch:38, difflib.Patch:37, difflib.Patch:40, difflib.Patch:39, difflib.Patch:36, difflib.Patch:26, difflib.DiffUtils:67, issues.issue10.Patcher:19
2015-06-23 10:57:21 [DEBUG] root:61 	Analyzing classes: 
2015-06-23 10:57:21 [DEBUG] root:61 	issues.issue10.Patcher
issues.issue10.PatcherTest
issues.IOUtils
difflib.ChangeDelta
difflib.DiffUtils
difflib.Patch
difflib.Chunk
difflib.Delta
2015-06-23 10:57:21 [DEBUG] root:61 	RUNNING JACOCO..
2015-06-23 10:57:21 [DEBUG] root:61 	Start vmRunner..
2015-06-23 10:57:21 [DEBUG] root:61 	destfile= C:\Users\DELL50~1\AppData\Local\Temp\tzJacoco750743150367232668.exec
2015-06-23 10:57:21 [DEBUG] root:61 	junitResultFile= C:\Users\DELL50~1\AppData\Local\Temp\tzJunitRes7265556053138821855.txt
2015-06-23 10:57:21 [DEBUG] root:61 	append=true
2015-06-23 10:57:21 [DEBUG] root:61 	testMethods= [diffutills.DiffTest.testDiff_EmptyListWithNonEmpty, diffutills.DiffTest.testDiff_Insert, diffutills.DiffTest.testDiff_Delete, diffutills.DiffTest.testDiff_Change, diffutills.DiffTest.testDiff_EmptyList, diffutills.GenerateUnifiedDiffTest.testGenerateUnifiedWithOneDelta, diffutills.GenerateUnifiedDiffTest.fileToLines, diffutills.GenerateUnifiedDiffTest.testGenerateUnified, diffutills.PatchTest.testPatch_Insert, diffutills.PatchTest.testPatch_Delete, diffutills.PatchTest.testPatch_Change, issues.issue10.PatcherTest.test]
2015-06-23 10:57:21 [DEBUG] root:61 	allClassNames= [issues.issue10.Patcher, issues.issue10.PatcherTest, issues.IOUtils, difflib.ChangeDelta, difflib.DiffUtils, difflib.Patch, difflib.Chunk, difflib.Delta, diffutills.DiffTest, diffutills.GenerateUnifiedDiffTest, diffutills.PatchTest, issues.issue10.PatcherTest]
2015-06-23 10:57:21 [DEBUG] root:61 	junitClassNames= [diffutills.DiffTest, diffutills.GenerateUnifiedDiffTest, diffutills.PatchTest, issues.issue10.PatcherTest]
2015-06-23 10:57:21 [DEBUG] root:61 	testingClassNames= [issues.issue10.Patcher, issues.issue10.PatcherTest, issues.IOUtils, difflib.ChangeDelta, difflib.DiffUtils, difflib.Patch, difflib.Chunk, difflib.Delta]
2015-06-23 10:57:21 [DEBUG] root:61 	start cmd..
2015-06-23 10:57:21 [DEBUG] root:61 	D:/_1_Projects/Tzuyu/tools/jdk1.6.0_26-64b\bin\java -javaagent:C:\Users\DELL50~1\AppData\Local\Temp\jacocoagent6640726006785122634.jar=append=true,destfile=C:\Users\DELL50~1\AppData\Local\Temp\tzJacoco750743150367232668.exec,includes=issues.issue10.Patcher:issues.issue10.PatcherTest:issues.IOUtils:difflib.ChangeDelta:difflib.DiffUtils:difflib.Patch:difflib.Chunk:difflib.Delta -cp D:\_1_Projects\Tzuyu\workspace\trunk/app/slicer.javaslicer/target/classes;D:\_1_Projects\Tzuyu\workspace\trunk/etc/app_assembly/sav-commons.jar;D:/_1_Projects/Tzuyu/tools/jdk1.6.0_26-64b/bin;D:/_1_Projects/Tzuyu/workspace/TEST_CASES/testdata\java-diff-utils\rev25/target/classes;D:/_1_Projects/Tzuyu/workspace/TEST_CASES/testdata\java-diff-utils\rev25/target/test-classes;D:\_1_Projects\Tzuyu\workspace\trunk/etc/app_assembly/tzuyu-jacoco.jar sav.strategies.junit.JunitRunner -methods diffutills.DiffTest.testDiff_EmptyListWithNonEmpty -destfile C:\Users\DELL50~1\AppData\Local\Temp\tzJunitRes7265556053138821855.txt -testingclass issues.issue10.Patcher issues.issue10.PatcherTest issues.IOUtils difflib.ChangeDelta difflib.DiffUtils difflib.Patch difflib.Chunk difflib.Delta diffutills.DiffTest diffutills.GenerateUnifiedDiffTest diffutills.PatchTest issues.issue10.PatcherTest
2015-06-23 10:57:21 [DEBUG] root:61 	D:/_1_Projects/Tzuyu/tools/jdk1.6.0_26-64b\bin\java
2015-06-23 10:57:21 [DEBUG] root:61 	-javaagent:C:\Users\DELL50~1\AppData\Local\Temp\jacocoagent6640726006785122634.jar=append=true,destfile=C:\Users\DELL50~1\AppData\Local\Temp\tzJacoco750743150367232668.exec,includes=issues.issue10.Patcher:issues.issue10.PatcherTest:issues.IOUtils:difflib.ChangeDelta:difflib.DiffUtils:difflib.Patch:difflib.Chunk:difflib.Delta
2015-06-23 10:57:21 [DEBUG] root:61 	-cp
2015-06-23 10:57:21 [DEBUG] root:61 	D:\_1_Projects\Tzuyu\workspace\trunk/app/slicer.javaslicer/target/classes;D:\_1_Projects\Tzuyu\workspace\trunk/etc/app_assembly/sav-commons.jar;D:/_1_Projects/Tzuyu/tools/jdk1.6.0_26-64b/bin;D:/_1_Projects/Tzuyu/workspace/TEST_CASES/testdata\java-diff-utils\rev25/target/classes;D:/_1_Projects/Tzuyu/workspace/TEST_CASES/testdata\java-diff-utils\rev25/target/test-classes;D:\_1_Projects\Tzuyu\workspace\trunk/etc/app_assembly/tzuyu-jacoco.jar
2015-06-23 10:57:21 [DEBUG] root:61 	sav.strategies.junit.JunitRunner
2015-06-23 10:57:21 [DEBUG] root:61 	-methods
2015-06-23 10:57:21 [DEBUG] root:61 	diffutills.DiffTest.testDiff_EmptyListWithNonEmpty
2015-06-23 10:57:21 [DEBUG] root:61 	-destfile
2015-06-23 10:57:21 [DEBUG] root:61 	C:\Users\DELL50~1\AppData\Local\Temp\tzJunitRes7265556053138821855.txt
2015-06-23 10:57:21 [DEBUG] root:61 	-testingclass
2015-06-23 10:57:21 [DEBUG] root:61 	issues.issue10.Patcher
2015-06-23 10:57:21 [DEBUG] root:61 	issues.issue10.PatcherTest
2015-06-23 10:57:21 [DEBUG] root:61 	issues.IOUtils
2015-06-23 10:57:21 [DEBUG] root:61 	difflib.ChangeDelta
2015-06-23 10:57:21 [DEBUG] root:61 	difflib.DiffUtils
2015-06-23 10:57:21 [DEBUG] root:61 	difflib.Patch
2015-06-23 10:57:21 [DEBUG] root:61 	difflib.Chunk
2015-06-23 10:57:21 [DEBUG] root:61 	difflib.Delta
2015-06-23 10:57:21 [DEBUG] root:61 	diffutills.DiffTest
2015-06-23 10:57:21 [DEBUG] root:61 	diffutills.GenerateUnifiedDiffTest
2015-06-23 10:57:21 [DEBUG] root:61 	diffutills.PatchTest
2015-06-23 10:57:21 [DEBUG] root:61 	issues.issue10.PatcherTest
2015-06-23 10:57:22 [DEBUG] root:61 	start cmd..
2015-06-23 10:57:22 [DEBUG] root:61 	D:/_1_Projects/Tzuyu/tools/jdk1.6.0_26-64b\bin\java -javaagent:C:\Users\DELL50~1\AppData\Local\Temp\jacocoagent6640726006785122634.jar=append=true,destfile=C:\Users\DELL50~1\AppData\Local\Temp\tzJacoco750743150367232668.exec,includes=issues.issue10.Patcher:issues.issue10.PatcherTest:issues.IOUtils:difflib.ChangeDelta:difflib.DiffUtils:difflib.Patch:difflib.Chunk:difflib.Delta -cp D:\_1_Projects\Tzuyu\workspace\trunk/app/slicer.javaslicer/target/classes;D:\_1_Projects\Tzuyu\workspace\trunk/etc/app_assembly/sav-commons.jar;D:/_1_Projects/Tzuyu/tools/jdk1.6.0_26-64b/bin;D:/_1_Projects/Tzuyu/workspace/TEST_CASES/testdata\java-diff-utils\rev25/target/classes;D:/_1_Projects/Tzuyu/workspace/TEST_CASES/testdata\java-diff-utils\rev25/target/test-classes;D:\_1_Projects\Tzuyu\workspace\trunk/etc/app_assembly/tzuyu-jacoco.jar sav.strategies.junit.JunitRunner -methods diffutills.DiffTest.testDiff_Insert -destfile C:\Users\DELL50~1\AppData\Local\Temp\tzJunitRes7265556053138821855.txt -testingclass issues.issue10.Patcher issues.issue10.PatcherTest issues.IOUtils difflib.ChangeDelta difflib.DiffUtils difflib.Patch difflib.Chunk difflib.Delta diffutills.DiffTest diffutills.GenerateUnifiedDiffTest diffutills.PatchTest issues.issue10.PatcherTest
2015-06-23 10:57:22 [DEBUG] root:61 	D:/_1_Projects/Tzuyu/tools/jdk1.6.0_26-64b\bin\java
2015-06-23 10:57:22 [DEBUG] root:61 	-javaagent:C:\Users\DELL50~1\AppData\Local\Temp\jacocoagent6640726006785122634.jar=append=true,destfile=C:\Users\DELL50~1\AppData\Local\Temp\tzJacoco750743150367232668.exec,includes=issues.issue10.Patcher:issues.issue10.PatcherTest:issues.IOUtils:difflib.ChangeDelta:difflib.DiffUtils:difflib.Patch:difflib.Chunk:difflib.Delta
2015-06-23 10:57:22 [DEBUG] root:61 	-cp
2015-06-23 10:57:22 [DEBUG] root:61 	D:\_1_Projects\Tzuyu\workspace\trunk/app/slicer.javaslicer/target/classes;D:\_1_Projects\Tzuyu\workspace\trunk/etc/app_assembly/sav-commons.jar;D:/_1_Projects/Tzuyu/tools/jdk1.6.0_26-64b/bin;D:/_1_Projects/Tzuyu/workspace/TEST_CASES/testdata\java-diff-utils\rev25/target/classes;D:/_1_Projects/Tzuyu/workspace/TEST_CASES/testdata\java-diff-utils\rev25/target/test-classes;D:\_1_Projects\Tzuyu\workspace\trunk/etc/app_assembly/tzuyu-jacoco.jar
2015-06-23 10:57:22 [DEBUG] root:61 	sav.strategies.junit.JunitRunner
2015-06-23 10:57:22 [DEBUG] root:61 	-methods
2015-06-23 10:57:22 [DEBUG] root:61 	diffutills.DiffTest.testDiff_Insert
2015-06-23 10:57:22 [DEBUG] root:61 	-destfile
2015-06-23 10:57:22 [DEBUG] root:61 	C:\Users\DELL50~1\AppData\Local\Temp\tzJunitRes7265556053138821855.txt
2015-06-23 10:57:22 [DEBUG] root:61 	-testingclass
2015-06-23 10:57:22 [DEBUG] root:61 	issues.issue10.Patcher
2015-06-23 10:57:22 [DEBUG] root:61 	issues.issue10.PatcherTest
2015-06-23 10:57:22 [DEBUG] root:61 	issues.IOUtils
2015-06-23 10:57:22 [DEBUG] root:61 	difflib.ChangeDelta
2015-06-23 10:57:22 [DEBUG] root:61 	difflib.DiffUtils
2015-06-23 10:57:22 [DEBUG] root:61 	difflib.Patch
2015-06-23 10:57:22 [DEBUG] root:61 	difflib.Chunk
2015-06-23 10:57:22 [DEBUG] root:61 	difflib.Delta
2015-06-23 10:57:22 [DEBUG] root:61 	diffutills.DiffTest
2015-06-23 10:57:22 [DEBUG] root:61 	diffutills.GenerateUnifiedDiffTest
2015-06-23 10:57:22 [DEBUG] root:61 	diffutills.PatchTest
2015-06-23 10:57:22 [DEBUG] root:61 	issues.issue10.PatcherTest
2015-06-23 10:57:23 [DEBUG] root:61 	start cmd..
